,Raw Score,Denominator,Score
1,17.0,33.0,0.5151515151515151
2,12.0,22.0,0.5454545454545454
3,14.0,27.0,0.5185185185185185
4,14.0,22.0,0.6363636363636364
5,10.0,20.0,0.5
6,10.0,15.0,0.6666666666666666
7,17.0,26.0,0.6538461538461539
8,9.0,18.0,0.5
9,5.0,17.0,0.29411764705882354
10,12.0,23.0,0.5217391304347826
11,12.0,20.0,0.6
12,15.0,22.0,0.6818181818181818
13,12.0,22.0,0.5454545454545454
14,15.0,25.0,0.6
15,10.0,22.0,0.45454545454545453
16,14.0,21.0,0.6666666666666666
17,11.0,16.0,0.6875
18,11.0,17.0,0.6470588235294118
19,8.0,20.0,0.4
20,16.0,21.0,0.7619047619047619
21,14.0,22.0,0.6363636363636364
22,14.0,24.0,0.5833333333333334
23,13.0,21.0,0.6190476190476191
24,13.0,20.0,0.65
25,14.0,19.0,0.7368421052631579
26,10.0,24.0,0.4166666666666667
27,12.0,26.0,0.46153846153846156
28,10.0,15.0,0.6666666666666666
29,12.0,19.0,0.631578947368421
30,13.0,22.0,0.5909090909090909
31,14.0,24.0,0.5833333333333334
32,10.0,19.0,0.5263157894736842
33,17.0,21.0,0.8095238095238095
34,14.0,21.0,0.6666666666666666
35,12.0,24.0,0.5
36,4.0,16.0,0.25
37,9.0,23.0,0.391304347826087
38,7.0,19.0,0.3684210526315789
39,10.0,18.0,0.5555555555555556
40,9.0,22.0,0.4090909090909091
41,9.0,16.0,0.5625
42,11.0,20.0,0.55
43,11.0,21.0,0.5238095238095238
44,14.0,21.0,0.6666666666666666
